benchmark_schema_version,benchmark_run_id,benchmark_scale,benchmark_dataset_ids,benchmark_git_commit,benchmark_dataset_id,benchmark_hypothesis_id,hypothesis_id,dataset_id,fixture_id,fixture_name,organism,data_type,coverage,noise_rate,seed,algorithm,strategy_name,implementation_scope,path_vertices,truth_vertices,exact_path_match,vertex_edit_distance,path_accuracy,log_probability,failure_code,runtime_s,peak_rss_mib
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,synthetic,noisy,10,0.1,456,viterbi_objective_oracle,ExhaustiveViterbiObjectiveOracle,tiny_fixture_exhaustive_oracle_not_production_strategy,"S,A1,A2,A3,T","S,A1,A2,A3,T",true,0,1.0,-0.0402013434140058,none,3.0994415283203125e-6,600.73828125
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,synthetic,noisy,10,0.1,456,greedy,GreedyViterbi,harness_local_greedy_baseline,"S,A1,A2,A3,T","S,A1,A2,A3,T",true,0,1.0,-0.0402013434140058,none,1.9073486328125e-6,600.73828125
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,synthetic,noisy,10,0.2,42,viterbi_objective_oracle,ExhaustiveViterbiObjectiveOracle,tiny_fixture_exhaustive_oracle_not_production_strategy,"S,A1,A2,A3,T","S,A1,A2,A3,T",true,0,1.0,-0.0402013434140058,none,3.0994415283203125e-6,600.73828125
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,synthetic,noisy,10,0.2,42,greedy,GreedyViterbi,harness_local_greedy_baseline,"S,A1,A2,A3,T","S,A1,A2,A3,T",true,0,1.0,-0.0402013434140058,none,1.9073486328125e-6,600.73828125
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,synthetic,noisy,10,0.2,123,viterbi_objective_oracle,ExhaustiveViterbiObjectiveOracle,tiny_fixture_exhaustive_oracle_not_production_strategy,"S,A1,A2,A3,T","S,A1,A2,A3,T",true,0,1.0,-0.0402013434140058,none,2.86102294921875e-6,600.73828125
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,synthetic,noisy,10,0.2,123,greedy,GreedyViterbi,harness_local_greedy_baseline,"S,A1,A2,A3,T","S,A1,A2,A3,T",true,0,1.0,-0.0402013434140058,none,1.9073486328125e-6,600.73828125
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,synthetic,noisy,10,0.2,456,viterbi_objective_oracle,ExhaustiveViterbiObjectiveOracle,tiny_fixture_exhaustive_oracle_not_production_strategy,"S,A1,A2,A3,T","S,A1,A2,A3,T",true,0,1.0,-0.0402013434140058,none,2.1457672119140625e-6,600.73828125
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,synthetic,noisy,10,0.2,456,greedy,GreedyViterbi,harness_local_greedy_baseline,"S,A1,A2,A3,T","S,A1,A2,A3,T",true,0,1.0,-0.0402013434140058,none,1.9073486328125e-6,600.73828125
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,synthetic,noisy,20,0.0,42,viterbi_objective_oracle,ExhaustiveViterbiObjectiveOracle,tiny_fixture_exhaustive_oracle_not_production_strategy,"S,A1,A2,A3,T","S,A1,A2,A3,T",true,0,1.0,-0.0402013434140058,none,2.86102294921875e-6,600.73828125
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,synthetic,noisy,20,0.0,42,greedy,GreedyViterbi,harness_local_greedy_baseline,"S,A1,A2,A3,T","S,A1,A2,A3,T",true,0,1.0,-0.0402013434140058,none,1.1920928955078125e-6,600.73828125
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,synthetic,noisy,20,0.0,123,viterbi_objective_oracle,ExhaustiveViterbiObjectiveOracle,tiny_fixture_exhaustive_oracle_not_production_strategy,"S,A1,A2,A3,T","S,A1,A2,A3,T",true,0,1.0,-0.0402013434140058,none,3.0994415283203125e-6,600.73828125
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,synthetic,noisy,20,0.0,123,greedy,GreedyViterbi,harness_local_greedy_baseline,"S,A1,A2,A3,T","S,A1,A2,A3,T",true,0,1.0,-0.0402013434140058,none,3.0994415283203125e-6,600.73828125
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,synthetic,noisy,20,0.0,456,viterbi_objective_oracle,ExhaustiveViterbiObjectiveOracle,tiny_fixture_exhaustive_oracle_not_production_strategy,"S,A1,A2,A3,T","S,A1,A2,A3,T",true,0,1.0,-0.0402013434140058,none,2.86102294921875e-6,600.73828125
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,synthetic,noisy,20,0.0,456,greedy,GreedyViterbi,harness_local_greedy_baseline,"S,A1,A2,A3,T","S,A1,A2,A3,T",true,0,1.0,-0.0402013434140058,none,2.1457672119140625e-6,600.73828125
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,synthetic,noisy,20,0.01,42,viterbi_objective_oracle,ExhaustiveViterbiObjectiveOracle,tiny_fixture_exhaustive_oracle_not_production_strategy,"S,A1,A2,A3,T","S,A1,A2,A3,T",true,0,1.0,-0.0402013434140058,none,1.9073486328125e-6,600.73828125
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,synthetic,noisy,20,0.01,42,greedy,GreedyViterbi,harness_local_greedy_baseline,"S,A1,A2,A3,T","S,A1,A2,A3,T",true,0,1.0,-0.0402013434140058,none,1.9073486328125e-6,600.73828125
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,synthetic,noisy,20,0.01,123,viterbi_objective_oracle,ExhaustiveViterbiObjectiveOracle,tiny_fixture_exhaustive_oracle_not_production_strategy,"S,A1,A2,A3,T","S,A1,A2,A3,T",true,0,1.0,-0.0402013434140058,none,2.86102294921875e-6,600.73828125
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,synthetic,noisy,20,0.01,123,greedy,GreedyViterbi,harness_local_greedy_baseline,"S,A1,A2,A3,T","S,A1,A2,A3,T",true,0,1.0,-0.0402013434140058,none,2.1457672119140625e-6,600.73828125
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,synthetic,noisy,20,0.01,456,viterbi_objective_oracle,ExhaustiveViterbiObjectiveOracle,tiny_fixture_exhaustive_oracle_not_production_strategy,"S,A1,A2,A3,T","S,A1,A2,A3,T",true,0,1.0,-0.0402013434140058,none,2.1457672119140625e-6,600.73828125
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,synthetic,noisy,20,0.01,456,greedy,GreedyViterbi,harness_local_greedy_baseline,"S,A1,A2,A3,T","S,A1,A2,A3,T",true,0,1.0,-0.0402013434140058,none,1.9073486328125e-6,600.73828125
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,synthetic,noisy,20,0.05,42,viterbi_objective_oracle,ExhaustiveViterbiObjectiveOracle,tiny_fixture_exhaustive_oracle_not_production_strategy,"S,A1,A2,A3,T","S,A1,A2,A3,T",true,0,1.0,-0.0402013434140058,none,7.152557373046875e-6,600.73828125
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,synthetic,noisy,20,0.05,42,greedy,GreedyViterbi,harness_local_greedy_baseline,"S,A1,A2,A3,T","S,A1,A2,A3,T",true,0,1.0,-0.0402013434140058,none,1.9073486328125e-6,600.73828125
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,synthetic,noisy,20,0.05,123,viterbi_objective_oracle,ExhaustiveViterbiObjectiveOracle,tiny_fixture_exhaustive_oracle_not_production_strategy,"S,A1,A2,A3,T","S,A1,A2,A3,T",true,0,1.0,-0.0402013434140058,none,2.86102294921875e-6,600.73828125
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,synthetic,noisy,20,0.05,123,greedy,GreedyViterbi,harness_local_greedy_baseline,"S,A1,A2,A3,T","S,A1,A2,A3,T",true,0,1.0,-0.0402013434140058,none,2.1457672119140625e-6,600.73828125
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,synthetic,noisy,20,0.05,456,viterbi_objective_oracle,ExhaustiveViterbiObjectiveOracle,tiny_fixture_exhaustive_oracle_not_production_strategy,"S,A1,A2,A3,T","S,A1,A2,A3,T",true,0,1.0,-0.0402013434140058,none,3.0994415283203125e-6,600.73828125
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,synthetic,noisy,20,0.05,456,greedy,GreedyViterbi,harness_local_greedy_baseline,"S,A1,A2,A3,T","S,A1,A2,A3,T",true,0,1.0,-0.0402013434140058,none,9.5367431640625e-7,600.73828125
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,synthetic,noisy,20,0.1,42,viterbi_objective_oracle,ExhaustiveViterbiObjectiveOracle,tiny_fixture_exhaustive_oracle_not_production_strategy,"S,A1,A2,A3,T","S,A1,A2,A3,T",true,0,1.0,-0.0402013434140058,none,3.0994415283203125e-6,600.73828125
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,synthetic,noisy,20,0.1,42,greedy,GreedyViterbi,harness_local_greedy_baseline,"S,A1,A2,A3,T","S,A1,A2,A3,T",true,0,1.0,-0.0402013434140058,none,1.9073486328125e-6,600.73828125
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,synthetic,noisy,20,0.1,123,viterbi_objective_oracle,ExhaustiveViterbiObjectiveOracle,tiny_fixture_exhaustive_oracle_not_production_strategy,"S,A1,A2,A3,T","S,A1,A2,A3,T",true,0,1.0,-0.0402013434140058,none,2.86102294921875e-6,600.73828125
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,synthetic,noisy,20,0.1,123,greedy,GreedyViterbi,harness_local_greedy_baseline,"S,A1,A2,A3,T","S,A1,A2,A3,T",true,0,1.0,-0.0402013434140058,none,3.0994415283203125e-6,600.73828125
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,synthetic,noisy,20,0.1,456,viterbi_objective_oracle,ExhaustiveViterbiObjectiveOracle,tiny_fixture_exhaustive_oracle_not_production_strategy,"S,A1,A2,A3,T","S,A1,A2,A3,T",true,0,1.0,-0.0402013434140058,none,4.0531158447265625e-6,600.73828125
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,synthetic,noisy,20,0.1,456,greedy,GreedyViterbi,harness_local_greedy_baseline,"S,A1,A2,A3,T","S,A1,A2,A3,T",true,0,1.0,-0.0402013434140058,none,9.5367431640625e-7,600.73828125
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,synthetic,noisy,20,0.2,42,viterbi_objective_oracle,ExhaustiveViterbiObjectiveOracle,tiny_fixture_exhaustive_oracle_not_production_strategy,"S,A1,A2,A3,T","S,A1,A2,A3,T",true,0,1.0,-0.0402013434140058,none,2.86102294921875e-6,600.73828125
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,synthetic,noisy,20,0.2,42,greedy,GreedyViterbi,harness_local_greedy_baseline,"S,A1,A2,A3,T","S,A1,A2,A3,T",true,0,1.0,-0.0402013434140058,none,2.1457672119140625e-6,600.73828125
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,synthetic,noisy,20,0.2,123,viterbi_objective_oracle,ExhaustiveViterbiObjectiveOracle,tiny_fixture_exhaustive_oracle_not_production_strategy,"S,A1,A2,A3,T","S,A1,A2,A3,T",true,0,1.0,-0.0402013434140058,none,2.86102294921875e-6,600.73828125
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,synthetic,noisy,20,0.2,123,greedy,GreedyViterbi,harness_local_greedy_baseline,"S,A1,A2,A3,T","S,A1,A2,A3,T",true,0,1.0,-0.0402013434140058,none,2.1457672119140625e-6,600.73828125
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,synthetic,noisy,20,0.2,456,viterbi_objective_oracle,ExhaustiveViterbiObjectiveOracle,tiny_fixture_exhaustive_oracle_not_production_strategy,"S,A1,A2,A3,T","S,A1,A2,A3,T",true,0,1.0,-0.0402013434140058,none,3.0994415283203125e-6,600.73828125
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,synthetic,noisy,20,0.2,456,greedy,GreedyViterbi,harness_local_greedy_baseline,"S,A1,A2,A3,T","S,A1,A2,A3,T",true,0,1.0,-0.0402013434140058,none,9.5367431640625e-7,600.73828125
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,synthetic,noisy,40,0.0,42,viterbi_objective_oracle,ExhaustiveViterbiObjectiveOracle,tiny_fixture_exhaustive_oracle_not_production_strategy,"S,A1,A2,A3,T","S,A1,A2,A3,T",true,0,1.0,-0.0402013434140058,none,1.9073486328125e-6,600.73828125
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,synthetic,noisy,40,0.0,42,greedy,GreedyViterbi,harness_local_greedy_baseline,"S,A1,A2,A3,T","S,A1,A2,A3,T",true,0,1.0,-0.0402013434140058,none,3.0994415283203125e-6,600.73828125
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,synthetic,noisy,40,0.0,123,viterbi_objective_oracle,ExhaustiveViterbiObjectiveOracle,tiny_fixture_exhaustive_oracle_not_production_strategy,"S,A1,A2,A3,T","S,A1,A2,A3,T",true,0,1.0,-0.0402013434140058,none,3.0994415283203125e-6,600.73828125
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,synthetic,noisy,40,0.0,123,greedy,GreedyViterbi,harness_local_greedy_baseline,"S,A1,A2,A3,T","S,A1,A2,A3,T",true,0,1.0,-0.0402013434140058,none,1.9073486328125e-6,600.73828125
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,synthetic,noisy,40,0.0,456,viterbi_objective_oracle,ExhaustiveViterbiObjectiveOracle,tiny_fixture_exhaustive_oracle_not_production_strategy,"S,A1,A2,A3,T","S,A1,A2,A3,T",true,0,1.0,-0.0402013434140058,none,3.0994415283203125e-6,600.73828125
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,synthetic,noisy,40,0.0,456,greedy,GreedyViterbi,harness_local_greedy_baseline,"S,A1,A2,A3,T","S,A1,A2,A3,T",true,0,1.0,-0.0402013434140058,none,1.9073486328125e-6,600.73828125
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,synthetic,noisy,40,0.01,42,viterbi_objective_oracle,ExhaustiveViterbiObjectiveOracle,tiny_fixture_exhaustive_oracle_not_production_strategy,"S,A1,A2,A3,T","S,A1,A2,A3,T",true,0,1.0,-0.0402013434140058,none,1.9073486328125e-6,600.73828125
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,synthetic,noisy,40,0.01,42,greedy,GreedyViterbi,harness_local_greedy_baseline,"S,A1,A2,A3,T","S,A1,A2,A3,T",true,0,1.0,-0.0402013434140058,none,9.5367431640625e-7,600.73828125
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,synthetic,noisy,40,0.01,123,viterbi_objective_oracle,ExhaustiveViterbiObjectiveOracle,tiny_fixture_exhaustive_oracle_not_production_strategy,"S,A1,A2,A3,T","S,A1,A2,A3,T",true,0,1.0,-0.0402013434140058,none,4.0531158447265625e-6,600.73828125
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,synthetic,noisy,40,0.01,123,greedy,GreedyViterbi,harness_local_greedy_baseline,"S,A1,A2,A3,T","S,A1,A2,A3,T",true,0,1.0,-0.0402013434140058,none,9.5367431640625e-7,600.73828125
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,synthetic,noisy,40,0.01,456,viterbi_objective_oracle,ExhaustiveViterbiObjectiveOracle,tiny_fixture_exhaustive_oracle_not_production_strategy,"S,A1,A2,A3,T","S,A1,A2,A3,T",true,0,1.0,-0.0402013434140058,none,1.9073486328125e-6,600.73828125
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,synthetic,noisy,40,0.01,456,greedy,GreedyViterbi,harness_local_greedy_baseline,"S,A1,A2,A3,T","S,A1,A2,A3,T",true,0,1.0,-0.0402013434140058,none,3.0994415283203125e-6,600.73828125
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,synthetic,noisy,40,0.05,42,viterbi_objective_oracle,ExhaustiveViterbiObjectiveOracle,tiny_fixture_exhaustive_oracle_not_production_strategy,"S,A1,A2,A3,T","S,A1,A2,A3,T",true,0,1.0,-0.0402013434140058,none,4.0531158447265625e-6,600.73828125
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,synthetic,noisy,40,0.05,42,greedy,GreedyViterbi,harness_local_greedy_baseline,"S,A1,A2,A3,T","S,A1,A2,A3,T",true,0,1.0,-0.0402013434140058,none,3.0994415283203125e-6,600.73828125
1,h1_viterbi_dp_greedy_noise_coverage_sweep,local-smoke,rhizomorph_graph_unit_fixtures,0838eb6e7dfd6c15c82fbe14af5391c1d3211f2f,rhizomorph_graph_unit_fixtures,H1,H1,rhizomorph_graph_unit_fixtures,H1-G0,linear control,synthetic,noisy,40,0.05,123,viterbi_objective_oracle,ExhaustiveViterbiObjectiveOracle,tiny_fixture_exhaustive_oracle_not_production_strategy,"S,A1,A2,A3,T","S,A1,A2,A3,T",true,0,1.0,-0.0402013434140058,none,3.0994415283203125e-6,600.73828125
